Generation,Mean Fitness,Best Fitness
1,970,1180
2,1025,1179
3,1054,1180
4,1079,1188
5,1112,1210
6,1137,1214
7,1146,1224
8,1160,1230
9,1158,1249
10,1173,1263
11,1185,1275
12,1207,1271
13,1220,1276
14,1229,1277
15,1240,1292
16,1248,1292
17,1256,1309
18,1259,1318
19,1270,1321
20,1280,1325
21,1290,1326
22,1287,1335
23,1304,1335
24,1309,1346
25,1321,1355
26,1329,1360
27,1333,1362
28,1340,1380
29,1347,1386
30,1353,1383
31,1357,1387
32,1364,1389
33,1369,1401
34,1374,1401
35,1381,1404
36,1385,1409
37,1388,1410
38,1391,1410
39,1394,1415
40,1399,1422
41,1403,1422
42,1406,1427
43,1400,1432
44,1410,1432
45,1416,1432
46,1420,1439
47,1424,1442
48,1425,1442
49,1428,1451
50,1430,1451
51,1433,1452
52,1435,1463
53,1440,1457
54,1441,1462
55,1445,1467
56,1447,1467
57,1449,1472
58,1454,1472
59,1459,1474
60,1460,1479
61,1460,1476
62,1463,1478
63,1466,1480
64,1467,1481
65,1469,1482
66,1472,1491
67,1476,1491
68,1475,1491
69,1477,1498
70,1480,1499
71,1480,1501
72,1485,1500
73,1487,1504
74,1492,1508
75,1494,1508
76,1497,1511
77,1500,1511
78,1501,1513
79,1503,1513
80,1504,1515
81,1504,1519
82,1505,1523
83,1505,1519
84,1508,1521
85,1510,1521
86,1511,1521
87,1512,1521
88,1511,1522
89,1514,1524
90,1514,1525
91,1515,1526
92,1516,1528
93,1517,1531
94,1517,1534
95,1518,1536
96,1520,1538
97,1522,1543
98,1526,1545
99,1527,1551
100,1529,1552
101,1532,1553
102,1535,1554
103,1539,1557
104,1541,1562
105,1543,1562
106,1547,1562
107,1546,1569
108,1548,1577
109,1551,1581
110,1556,1582
111,1558,1586
112,1563,1586
113,1563,1587
114,1569,1590
115,1572,1590
116,1576,1591
117,1577,1591
118,1580,1594
119,1583,1597
120,1581,1598
121,1585,1598
122,1585,1604
123,1588,1608
124,1590,1606
125,1589,1608
126,1591,1611
127,1593,1614
128,1595,1617
129,1599,1615
130,1596,1615
131,1597,1613
132,1600,1620
133,1603,1620
134,1606,1622
135,1608,1620
136,1610,1621
137,1610,1621
138,1614,1621
139,1612,1622
140,1614,1622
141,1615,1627
142,1614,1627
143,1614,1627
144,1614,1627
145,1615,1628
146,1617,1629
147,1619,1628
148,1611,1629
149,1618,1629
150,1622,1630
151,1620,1631
152,1620,1633
153,1622,1633
154,1616,1633
155,1622,1633
156,1621,1633
157,1622,1633
158,1621,1635
159,1622,1634
160,1624,1635
161,1625,1635
162,1622,1638
163,1617,1636
164,1622,1640
165,1622,1640
166,1621,1640
167,1626,1639
168,1629,1639
169,1617,1639
170,1627,1640
171,1617,1640
172,1618,1640
173,1632,1640
174,1633,1640
175,1630,1640
176,1630,1641
177,1630,1641
178,1628,1641
179,1632,1641
180,1631,1642
181,1632,1642
182,1632,1642
183,1634,1642
184,1632,1642
185,1630,1642
186,1631,1642
